index,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm,Date,year,month
172,96013,50,0,0,4,33,10,3,0,0,0,0,1997-01-16,1997,1
173,96014,54,0,2,4,14,21,12,1,0,0,0,1997-01-16,1997,1
174,96015,87,0,0,3,29,41,12,2,0,0,0,1997-01-16,1997,1
175,96016,56,0,0,4,26,23,3,0,0,0,0,1997-01-21,1997,1
176,96017,73,0,1,18,43,11,0,0,0,0,0,1997-01-21,1997,1
177,96018,63,0,5,11,35,11,0,1,0,0,0,1997-01-21,1997,1
178,96019,76,0,5,11,41,14,4,1,0,0,0,1997-01-21,1997,1
179,96020,120,0,8,8,47,31,18,8,0,0,0,1997-01-21,1997,1
180,96021,57,0,3,3,18,14,18,1,0,0,0,1997-01-26,1997,1
181,96022,63,0,5,13,21,18,6,0,0,0,0,1997-01-26,1997,1
182,96023,88,0,8,22,38,14,2,3,1,0,0,1997-01-26,1997,1
183,96024,50,1,14,5,10,12,5,2,1,0,0,1997-01-26,1997,1
184,96025,86,0,9,19,30,23,4,1,0,0,0,1997-01-26,1997,1
185,96026,66,0,8,3,37,12,6,0,0,0,0,1997-01-31,1997,1
186,96027,73,0,6,1,24,22,16,4,0,0,0,1997-01-31,1997,1
187,96028,106,0,1,10,40,42,10,3,0,0,0,1997-01-31,1997,1
188,96029,110,1,6,12,55,22,10,4,0,0,0,1997-01-31,1997,1
189,96030,70,0,0,4,36,21,9,0,0,0,0,1997-01-31,1997,1
190,96031,76,0,5,11,37,19,4,0,0,0,0,1997-02-05,1997,2
191,96032,57,0,0,3,2,16,24,10,1,1,0,1997-02-05,1997,2
192,96033,52,0,4,4,33,3,7,1,0,0,0,1997-02-05,1997,2
193,96034,55,0,0,1,15,12,17,10,0,0,0,1997-02-05,1997,2
194,96035,71,0,0,1,4,21,18,20,7,0,0,1997-02-05,1997,2
195,96036,60,0,0,0,13,24,20,3,0,0,0,1997-02-10,1997,2
196,96037,56,2,6,8,28,11,0,1,0,0,0,1997-02-10,1997,2
197,96038,80,0,2,6,28,27,15,2,0,0,0,1997-02-10,1997,2
198,96039,102,0,3,10,28,38,18,5,0,0,0,1997-02-10,1997,2
199,96040,73,0,0,5,32,25,7,4,0,0,0,1997-02-10,1997,2
200,96041,78,0,0,8,34,27,6,2,1,0,0,1997-02-15,1997,2
201,96042,65,0,0,1,14,21,22,7,0,0,0,1997-02-15,1997,2
202,96043,55,0,0,6,31,12,6,0,0,0,0,1997-02-15,1997,2
203,96044,83,0,0,2,28,35,15,3,0,0,0,1997-02-15,1997,2
204,96045,78,0,1,4,33,20,16,4,0,0,0,1997-02-15,1997,2
205,97001,111,0,0,13,42,38,8,9,1,0,0,1998-01-06,1998,1
206,97002,64,0,0,1,17,31,15,0,0,0,0,1998-01-06,1998,1
207,97003,62,0,0,10,23,26,3,0,0,0,0,1998-01-06,1998,1
208,97004,53,0,0,8,23,22,0,0,0,0,0,1998-01-06,1998,1
209,97005,79,0,0,34,39,6,0,0,0,0,0,1998-01-06,1998,1
210,97006,91,0,0,5,43,29,12,2,0,0,0,1998-01-11,1998,1
211,97007,53,0,1,11,16,16,8,1,0,0,0,1998-01-11,1998,1
212,97008,60,1,0,9,21,24,5,0,0,0,0,1998-01-11,1998,1
213,97009,53,0,0,8,19,18,7,1,0,0,0,1998-01-11,1998,1
214,97010,68,0,0,7,35,21,5,0,0,0,0,1998-01-11,1998,1
215,97011,78,0,2,11,47,16,1,1,0,0,0,1998-01-16,1998,1
216,97012,63,0,0,2,21,34,6,0,0,0,0,1998-01-16,1998,1
217,97013,50,0,0,5,34,10,1,0,0,0,0,1998-01-16,1998,1
218,97014,60,0,0,1,12,38,8,1,0,0,0,1998-01-16,1998,1
219,97015,83,0,1,2,40,32,8,0,0,0,0,1998-01-16,1998,1
220,97016,83,0,0,7,17,36,21,2,0,0,0,1998-01-21,1998,1
221,97017,103,0,2,1,33,51,13,3,0,0,0,1998-01-21,1998,1
222,97018,103,0,0,2,29,54,13,4,1,0,0,1998-01-21,1998,1
223,97019,72,0,0,0,16,50,6,0,0,0,0,1998-01-21,1998,1
224,97020,53,0,0,0,20,20,13,0,0,0,0,1998-01-21,1998,1
225,97021,52,0,0,1,10,24,17,0,0,0,0,1998-01-26,1998,1
226,97022,82,0,2,5,51,24,0,0,0,0,0,1998-01-26,1998,1
227,97023,62,0,0,3,31,27,1,0,0,0,0,1998-01-26,1998,1
228,97024,51,0,0,0,29,20,2,0,0,0,0,1998-01-26,1998,1
229,97025,51,0,0,2,31,18,0,0,0,0,0,1998-01-26,1998,1
230,97026,54,0,0,1,4,28,19,2,0,0,0,1998-01-31,1998,1
231,97027,83,0,0,1,18,46,17,1,0,0,0,1998-01-31,1998,1
232,97028,55,0,0,1,13,29,11,1,0,0,0,1998-01-31,1998,1
233,97029,73,0,0,1,13,32,20,7,0,0,0,1998-01-31,1998,1
234,97030,92,0,1,1,24,48,16,2,0,0,0,1998-01-31,1998,1
235,97031,75,0,0,1,16,39,18,1,0,0,0,1998-02-05,1998,2
236,97032,97,0,0,0,4,61,28,3,1,0,0,1998-02-05,1998,2
237,97033,79,0,0,1,18,33,21,6,0,0,0,1998-02-05,1998,2
238,97034,88,0,0,0,24,48,14,2,0,0,0,1998-02-05,1998,2
239,97035,88,0,2,4,24,42,12,2,2,0,0,1998-02-05,1998,2
240,97036,76,0,0,0,1,25,43,7,0,0,0,1998-02-10,1998,2
241,97037,54,0,1,0,15,29,9,0,0,0,0,1998-02-10,1998,2
242,97038,12,0,0,1,1,7,3,0,0,0,0,1998-02-10,1998,2
243,97039,67,0,0,0,7,30,29,1,0,0,0,1998-02-10,1998,2
244,97040,74,0,0,2,11,32,18,9,2,0,0,1998-02-10,1998,2
245,97041,75,0,2,1,15,37,17,3,0,0,0,1998-02-15,1998,2
246,97042,93,0,0,1,19,43,25,5,0,0,0,1998-02-15,1998,2
247,97043,68,0,0,4,16,30,16,2,0,0,0,1998-02-15,1998,2
248,97044,82,0,1,2,10,39,24,6,0,0,0,1998-02-15,1998,2
249,97045,55,0,0,0,7,30,18,0,0,0,0,1998-02-15,1998,2
250,97046,101,0,0,0,8,41,42,9,1,0,0,1998-02-20,1998,2
251,97047,81,0,0,1,28,27,23,2,0,0,0,1998-02-20,1998,2
252,97048,67,0,0,0,13,28,22,4,0,0,0,1998-02-20,1998,2
253,97049,110,0,0,2,16,43,41,8,0,0,0,1998-02-20,1998,2
254,97050,80,0,1,0,13,32,31,3,0,0,0,1998-02-20,1998,2
255,98001,53,1,0,1,15,23,10,2,1,0,0,1999-01-06,1999,1
256,98002,63,0,0,2,20,26,12,3,0,0,0,1999-01-06,1999,1
257,98003,47,0,1,0,15,23,8,0,0,0,0,1999-01-06,1999,1
258,98004,84,0,0,1,10,25,37,9,2,0,0,1999-01-06,1999,1
259,98005,47,0,0,0,11,25,10,1,0,0,0,1999-01-06,1999,1
260,98006,50,0,0,0,10,23,17,0,0,0,0,1999-01-11,1999,1
261,98007,86,0,0,4,24,40,17,1,0,0,0,1999-01-11,1999,1
262,98008,86,0,0,3,16,36,21,10,0,0,0,1999-01-11,1999,1
263,98009,50,0,0,0,9,31,8,2,0,0,0,1999-01-11,1999,1
264,98010,64,0,0,0,2,25,31,5,1,0,0,1999-01-11,1999,1
265,98011,72,0,0,1,13,32,20,6,0,0,0,1999-01-16,1999,1
266,98012,46,0,0,0,9,14,21,2,0,0,0,1999-01-16,1999,1
267,98013,47,0,0,3,7,20,16,1,0,0,0,1999-01-16,1999,1
268,98014,82,0,0,0,2,22,36,19,3,0,0,1999-01-16,1999,1
269,98015,81,0,0,1,18,27,31,4,0,0,0,1999-01-16,1999,1
270,98016,37,0,0,0,6,11,18,2,0,0,0,1999-01-21,1999,1
271,98017,53,0,0,0,2,19,26,6,0,0,0,1999-01-21,1999,1
272,98018,64,0,0,1,17,30,14,2,0,0,0,1999-01-21,1999,1
273,98019,52,0,0,0,3,20,21,7,1,0,0,1999-01-21,1999,1
274,98020,52,0,0,0,4,22,21,3,2,0,0,1999-01-21,1999,1
275,98021,74,0,0,1,5,24,38,6,0,0,0,1999-01-26,1999,1
276,98022,58,0,0,0,3,21,28,5,1,0,0,1999-01-26,1999,1
277,98023,62,0,0,1,5,21,30,5,0,0,0,1999-01-26,1999,1
278,98024,50,0,0,0,2,27,20,1,0,0,0,1999-01-26,1999,1
279,98025,50,0,0,1,3,19,25,2,0,0,0,1999-01-26,1999,1
280,98026,54,0,0,0,2,7,31,14,0,0,0,1999-02-01,1999,2
281,98027,65,0,0,0,4,24,32,5,0,0,0,1999-02-01,1999,2
282,98028,83,0,0,1,5,42,30,5,0,0,0,1999-02-01,1999,2
283,98029,72,0,0,0,6,18,38,10,0,0,0,1999-02-01,1999,2
284,98030,64,0,0,0,0,15,38,11,0,0,0,1999-02-01,1999,2
285,98031,50,0,0,0,1,16,25,6,2,0,0,1999-02-05,1999,2
286,98032,78,0,0,0,3,28,34,13,0,0,0,1999-02-05,1999,2
287,98033,86,0,0,0,6,37,32,11,0,0,0,1999-02-05,1999,2
288,98034,83,0,0,0,0,11,49,22,1,0,0,1999-02-05,1999,2
289,98035,59,0,0,0,2,21,25,8,3,0,0,1999-02-05,1999,2
290,98036,87,0,0,0,0,13,42,30,2,0,0,1999-02-11,1999,2
291,98037,50,0,0,0,0,11,22,17,0,0,0,1999-02-11,1999,2
292,98038,74,0,0,0,4,14,36,19,1,0,0,1999-02-11,1999,2
293,98039,50,0,0,0,0,7,23,19,1,0,0,1999-02-11,1999,2
294,98040,50,0,0,0,0,17,19,14,0,0,0,1999-02-11,1999,2
295,98041,52,0,0,0,0,11,28,11,2,0,0,1999-02-16,1999,2
296,98042,55,0,0,0,0,15,27,13,0,0,0,1999-02-16,1999,2
297,98043,72,0,0,0,0,17,33,22,0,0,0,1999-02-16,1999,2
298,98044,51,0,0,0,1,11,21,17,1,0,0,1999-02-16,1999,2
299,98045,69,0,0,0,0,8,28,33,0,0,0,1999-02-16,1999,2
300,99001,50,0,0,0,0,5,16,27,2,0,0,2000-01-09,2000,1
301,99002,29,0,0,0,0,1,8,17,2,1,0,2000-01-09,2000,1
302,99003,86,0,0,0,1,13,27,36,9,0,0,2000-01-09,2000,1
303,99004,60,0,0,0,3,5,26,26,0,0,0,2000-01-09,2000,1
304,99005,53,0,0,1,2,6,16,22,6,0,0,2000-01-09,2000,1
305,99006,6,0,0,0,0,0,2,4,0,0,0,2000-01-13,2000,1
306,99007,63,0,0,0,0,3,17,28,13,2,0,2000-01-13,2000,1
307,99008,50,0,0,0,1,8,24,15,2,0,0,2000-01-13,2000,1
308,99009,50,0,1,2,1,2,16,20,8,0,0,2000-01-13,2000,1
309,99010,84,0,1,2,1,2,10,44,22,2,0,2000-01-13,2000,1
310,99011,46,0,0,0,1,0,4,15,19,7,0,2000-01-18,2000,1
311,99012,71,0,0,0,0,1,18,30,18,4,0,2000-01-18,2000,1
312,99013,79,0,0,1,1,2,12,43,19,1,0,2000-01-18,2000,1
313,99014,82,0,0,11,9,7,23,21,10,1,0,2000-01-18,2000,1
314,99015,71,0,0,0,1,0,0,35,30,5,0,2000-01-18,2000,1
315,99016,76,0,0,0,0,2,22,41,11,0,0,2000-01-25,2000,1
316,99017,76,0,0,1,1,3,33,31,7,0,0,2000-01-25,2000,1
317,99018,60,0,0,3,2,2,12,25,15,1,0,2000-01-25,2000,1
318,99019,39,0,0,0,1,5,13,19,1,0,0,2000-01-25,2000,1
319,99020,39,0,0,0,1,0,14,18,6,0,0,2000-01-25,2000,1
320,99021,93,0,0,4,6,12,51,17,3,0,0,2000-01-29,2000,1
321,99022,88,0,0,1,4,11,53,18,1,0,0,2000-01-29,2000,1
322,99023,72,0,1,1,3,3,15,37,11,1,0,2000-01-29,2000,1
323,99024,50,0,0,1,1,1,20,19,8,0,0,2000-01-29,2000,1
324,99025,58,0,0,0,1,1,8,33,15,0,0,2000-01-29,2000,1
325,99026,53,0,0,0,4,3,11,19,15,1,0,2000-02-04,2000,2
326,99027,80,0,0,0,2,9,33,35,1,0,0,2000-02-04,2000,2
327,99028,93,0,0,0,1,5,9,46,30,2,0,2000-02-04,2000,2
328,99029,50,0,0,0,0,5,14,26,5,0,0,2000-02-04,2000,2
329,99030,57,0,0,0,0,1,10,29,17,0,0,2000-02-04,2000,2
330,99031,50,0,0,0,0,8,24,14,4,0,0,2000-02-07,2000,2
331,99032,51,0,0,1,0,1,25,22,2,0,0,2000-02-07,2000,2
332,99033,100,0,1,1,3,7,29,44,14,1,0,2000-02-07,2000,2
333,99034,50,0,0,0,1,4,23,16,6,0,0,2000-02-07,2000,2
334,99035,86,0,0,1,10,4,23,31,17,0,0,2000-02-07,2000,2
335,99036,75,0,0,1,2,12,29,22,9,0,0,2000-02-11,2000,2
336,99037,32,0,0,0,3,2,12,12,3,0,0,2000-02-11,2000,2
337,99038,48,0,0,0,1,4,14,22,7,0,0,2000-02-11,2000,2
338,99039,38,0,0,0,0,5,12,11,10,0,0,2000-02-11,2000,2
339,99040,50,0,0,0,0,7,22,17,2,2,0,2000-02-11,2000,2
340,1,50,2,22,5,3,1,1,8,7,1,0,2000-12-27,2000,12
341,2,33,0,0,0,0,1,1,12,17,2,0,2000-12-27,2000,12
342,3,50,1,10,3,3,0,3,14,14,2,0,2000-12-27,2000,12
343,4,37,0,2,1,1,0,6,15,12,0,0,2000-12-27,2000,12
344,5,54,3,11,2,2,0,4,13,17,2,0,2000-12-27,2000,12
345,6,58,0,1,7,21,5,0,11,11,2,0,2001-01-09,2001,1
